What is the name of the dog you would like to submit a response for?,What is the gender of {{field:dog_name}},Do you know the age of {{field:dog_name}}?,Please enter the age of {{field:dog_name}} in months:,Did you acquire {{field:dog_name}} between 2 and 6 months?,Did {{field:dog_name}} attend puppy training classes between 2 and 6 months?,What style of training was taught to you and {{field:dog_name}} during class?,Where was puppy training offered?,Did {{field:dog_name}} attend any training classes after 6 months of age?,What style of training was used?,Who trained you and {{field:dog_name}}?,At what age did you complete training {{field:dog_name}}?,Is there at least one situation in which {{field:dog_name}} behaves aggressively?,Who or what has {{field:dog_name}} acted aggressively toward?,Is there at least one situation in which {{field:dog_name}} is fearful or anxious?,What sort of fears and/or anxiety has {{field:dog_name}} had?,Do you consider {{field:dog_name}} to have a problem with jumping up on people?,Who does {{field:dog_name}} jumped up on?,Does {{field:dog_name}} bark excessively?,When has {{field:dog_name}} excessively barked?,Has {{field:dog_name}} ever eaten feces?,What type of feces has {{field:dog_name}} eaten?,Has {{field:dog_name}} ever had any repetitive behaviors?,What sort of repetitive behaviors have you seen with {{field:dog_name}}?,Have you ever had a problem with {{field:dog_name}} soiling in the house?,When has {{field:dog_name}} soiled in the house?,How has {{field:dog_name}} soiled in the house?,Where has {{field:dog_name}} soiled in the house?,Has {{field:dog_name}} ever rolled in repulsive material?,In what repulsive material has {{field:dog_name}} rolled?,Do you consider{{field:dog_name}} to be overactive/hyperactive?,In what ways has {{field:dog_name}} been overactive/hyperactive?,Has {{field:dog_name}} ever exhibited destructive behavior in the home (other than puppy chewing behavior)?,When has {{field:dog_name}} been destructive?,Has {{field:dog_name}} ever run away/escaped?,Which of the following describes how {{field:dog_name}} has run away/escaped?,Have you ever had a problem with {{field:dog_name}} mounting/humping?,Who or what has {{field:dog_name}} mounted/humped?,Would you like to enter information for another dog you own?,id,msg,list,sep,Submitted At,Token
Kaizen,Male,Yes,60.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,"Continue to practice and use training skills in home, Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,"Strangers away from the home, Unfamiliar dogs away from the home",True,Horses banging in stalls in the barn - but not other noises,False,,True,IN anticipation of favorite activities,True,The feces of other animals,False,,False,,,,True,"Feces, Dead stuff",False,,False,,False,,False,,True,78ad7cd561a4b30f06a7aa77022bef0b,,, ,5/5/2020 20:50:42,360o4tg9i86ujovlz360oymw8mdmomaf
Bella,Female,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,89d7b6119b237603920f3270427578db,,, ,5/5/2020 20:48:02,n7bb713graw3xvan7bbvxh5sidwogdcc
Cloe,Female,Yes,108.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,18-36 months (social maturity),True,Strangers visiting the home,True,"Fear of crowds, Fear of veterinary visits, Generalized anxiety",False,,True,"At triggers (inside), At triggers (outside)",True,The feces of other animals,False,,True,"Exited/overwhelmed, Owners are present",Urine,Specific locations,True,"Feces, Urine",False,,False,,False,,True,"People, Unfamiliar dogs",False,1253fe4a2537a01af5f992d23478349b,,, ,5/5/2020 21:09:47,7wkshq2yg6bb1gh87wkshqvy4730iv31
Turk,Male,Yes,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,ece46ceba2f24058e12fe06f8d212cb9,,, ,5/5/2020 20:48:29,9wr1es1p64qz67tepqso9wr1e12nywkw
Ritz,Female,Yes,71.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,"Unfamiliar dogs away from the home, Familiar dogs in the home, Animals other than dogs",True,"Fear of noises, Fear of other dogs",True,"Familiar people, Stangers",True,"At triggers (inside), At triggers (outside), Owners are present, To get attention",False,,False,,False,,,,False,,False,,False,,False,,False,,False,8e19cdc61a05220158210716a0407e73,,, ,5/5/2020 20:52:57,5hrrm3nw5h6fjd7p5zfl5hrrm3mw4dbq
Bentley,Male,Yes,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,6f91b3978133738c1faa7287578501d1,,, ,5/5/2020 20:48:40,2za4c4fel6ni5konag2za4cz0e8xt5x2
Rax,Male,Yes,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,ece46ceba2f24058e12fe06f8d212cb9,We have submissions for:,,", ",5/5/2020 20:48:48,aesm97nobrux9uzhq6eaesm93dun3m0e
Porsche,Female,Yes,20.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,Unfamiliar dogs away from the home,True,Fear of other dogs,False,,False,,True,Dog feces other than their own,False,,False,,,,True,"Feces, Dead stuff",False,,False,,False,,False,,True,6f91b3978133738c1faa7287578501d1,We have submissions for:,,", ",5/5/2020 20:52:02,ha69utp6ztwgc7qe7m53ha69utp44ll3
Wasabi,Female,Yes,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,e433eb53c23affcc3e4e2256fd59ba87,,, ,5/5/2020 20:49:59,3qv2gcnrf7lfp2c1yn93qv2x3c14g5rl
Sunshine Lollipops and Rainbows,Male,Yes,33.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,True,Separation anxiety,False,,True,Excitement - anticipation of favorite activities,True,The feces of other animals,False,,True,Owners are present,Both feces and urine,Specific locations,True,"Feces, Dead stuff",False,,False,,False,,False,,False,78ad7cd561a4b30f06a7aa77022bef0b,We have submissions for:,,", ",5/5/2020 20:54:34,b9se23pjeyoctjjfj8b9se2fn7medkm9
